Date,Day,Islamic,Fajr,Fajr Iqama,Sunrise,Duhr,Duhr Iqama,Asr,Asr Iqama,Maghrib,Maghrib Iqama,Isha,Isha Iqama
1,Wed,RAJAB 01,6:22 AM,6:45 AM,7:51 AM,12:15 PM,12:30 PM,2:56 PM,3:15 PM,4:39 PM,4:44 PM,6:08 PM,7:30 PM
2,Thurs,RAJAB 02,6:22 AM,6:45 AM,7:51 AM,12:15 PM,12:30 PM,2:56 PM,3:15 PM,4:40 PM,4:45 PM,6:09 PM,7:30 PM
3,Fri,RAJAB 03,6:22 AM,6:45 AM,7:51 AM,12:16 PM,12:30 PM,2:57 PM,3:15 PM,4:41 PM,4:46 PM,6:10 PM,7:30 PM
4,Sat,RAJAB 04,6:22 AM,6:45 AM,7:51 AM,12:16 PM,12:30 PM,2:58 PM,3:15 PM,4:41 PM,4:47 PM,6:11 PM,7:30 PM
5,Sun,RAJAB 05,6:22 AM,6:45 AM,7:51 AM,12:17 PM,12:30 PM,2:59 PM,3:15 PM,4:43 PM,4:48 PM,6:12 PM,7:30 PM
6,Mon,RAJAB 06,6:22 AM,6:45 AM,7:51 AM,12:17 PM,12:30 PM,3:01 PM,3:15 PM,4:44 PM,4:49 PM,6:13 PM,7:30 PM
7,Tues,RAJAB 07,6:21 AM,6:45 AM,7:51 AM,12:18 PM,12:30 PM,3:02 PM,3:15 PM,4:45 PM,4:50 PM,6:14 PM,7:30 PM
8,Wed,RAJAB 08,6:21 AM,6:45 AM,7:50 AM,12:18 PM,12:30 PM,3:03 PM,3:15 PM,4:46 PM,4:51 PM,6:15 PM,7:30 PM
9,Thurs,RAJAB 09,6:21 AM,6:45 AM,7:50 AM,12:18 PM,12:30 PM,3:04 PM,3:15 PM,4:47 PM,4:52 PM,6:16 PM,7:30 PM
10,Fri,RAJAB 10,6:21 AM,6:30 AM,7:50 AM,12:19 PM,12:30 PM,3:05 PM,3:30 PM,4:48 PM,4:53 PM,6:17 PM,7:30 PM
11,Sat,RAJAB 11,6:21 AM,6:30 AM,7:49 AM,12:19 PM,12:30 PM,3:06 PM,3:30 PM,4:49 PM,4:54 PM,6:18 PM,7:30 PM
12,Sun,RAJAB 12,6:21 AM,6:30 AM,7:49 AM,12:20 PM,12:30 PM,3:07 PM,3:30 PM,4:51 PM,4:56 PM,6:19 PM,7:30 PM
13,Mon,RAJAB 13,6:21 AM,6:30 AM,7:49 AM,12:20 PM,12:30 PM,3:09 PM,3:30 PM,4:52 PM,4:57 PM,6:20 PM,7:30 PM
14,Tues,RAJAB 14,6:20 AM,6:30 AM,7:48 AM,12:20 PM,12:30 PM,3:10 PM,3:30 PM,4:53 PM,4:58 PM,6:21 PM,7:30 PM
15,Wed,RAJAB 15,6:20 AM,6:30 AM,7:47 AM,12:21 PM,12:30 PM,3:11 PM,3:30 PM,4:54 PM,4:59 PM,6:22 PM,7:30 PM
16,Thurs,RAJAB 16,6:19 AM,6:30 AM,7:47 AM,12:21 PM,12:30 PM,3:12 PM,3:30 PM,4:56 PM,5:01 PM,6:23 PM,7:30 PM
17,Fri,RAJAB 17,6:19 AM,6:30 AM,7:46 AM,12:21 PM,12:30 PM,3:14 PM,3:30 PM,4:57 PM,5:02 PM,6:24 PM,7:30 PM
18,Sat,RAJAB 18,6:18 AM,6:30 AM,7:46 AM,12:22 PM,12:30 PM,3:15 PM,3:30 PM,4:58 PM,5:03 PM,6:25 PM,7:30 PM
19,Sun,RAJAB 19,6:18 AM,6:30 AM,7:45 AM,12:22 PM,12:30 PM,3:16 PM,3:30 PM,5:00 PM,5:05 PM,6:27 PM,7:30 PM
20,Mon,RAJAB 20,6:17 AM,6:30 AM,7:44 AM,12:22 PM,12:30 PM,3:18 PM,3:30 PM,5:01 PM,5:06 PM,6:28 PM,7:30 PM
21,Tues,RAJAB 21,6:17 AM,6:30 AM,7:43 AM,12:23 PM,12:35 PM,3:19 PM,3:30 PM,5:02 PM,5:07 PM,6:29 PM,7:30 PM
22,Wed,RAJAB 22,6:16 AM,6:30 AM,7:42 AM,12:23 PM,12:35 PM,3:20 PM,3:30 PM,5:04 PM,5:09 PM,6:30 PM,7:30 PM
23,Thurs,RAJAB 23,6:15 AM,6:30 AM,7:42 AM,12:23 PM,12:35 PM,3:22 PM,3:30 PM,5:05 PM,5:10 PM,6:31 PM,7:30 PM
24,Fri,RAJAB 24,6:15 AM,6:30 AM,7:41 AM,12:23 PM,12:35 PM,3:23 PM,3:45 PM,5:07 PM,5:12 PM,6:33 PM,7:30 PM
25,Sat,RAJAB 25,6:14 AM,6:30 AM,7:40 AM,12:24 PM,12:35 PM,3:24 PM,3:45 PM,5:08 PM,5:13 PM,6:34 PM,7:30 PM
26,Sun,RAJAB 26,6:13 AM,6:30 AM,7:39 AM,12:24 PM,12:35 PM,3:26 PM,3:45 PM,5:09 PM,5:14 PM,6:35 PM,7:30 PM
27,Mon,RAJAB 27,6:12 AM,6:30 AM,7:38 AM,12:24 PM,12:35 PM,3:27 PM,3:45 PM,5:11 PM,5:16 PM,6:36 PM,7:30 PM
28,Tues,RAJAB 28,6:11 AM,6:30 AM,7:37 AM,12:24 PM,12:35 PM,3:28 PM,3:45 PM,5:12 PM,5:17 PM,6:38 PM,7:30 PM
29,Wed,RAJAB 29,6:11 AM,6:30 AM,7:36 AM,12:24 PM,12:35 PM,3:30 PM,3:45 PM,5:14 PM,5:19 PM,6:39 PM,7:30 PM
30,Thurs,RAJAB 30,6:10 AM,6:30 AM,7:35 AM,12:25 PM,12:35 PM,3:31 PM,3:45 PM,5:15 PM,5:20 PM,6:40 PM,7:30 PM
31,Fri,SHABAN 01,6:09 AM,6:30 AM,7:33 AM,12:25 PM,12:35 PM,3:33 PM,3:45 PM,5:17 PM,5:22 PM,6:41 PM,7:30 PM

